# Simulation 9 (Up to date)
# 795 data points written for 2 variables.
#
# Tempo (s),Força de arrasto (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=17.521 seconds
17.57,0.035
17.574,45.622
17.627,45.179
17.685,40.76
17.768,38.082
17.849,34.144
17.955,32.594
18.085,34.666
18.212,36.614
18.344,40.257
18.468,42.506
18.615,47.1
18.788,51.378
19.01,56.129
19.28,58.868
19.672,61.013
20.172,62.93
20.672,62.44
21.172,62.752
21.672,62.655
22.172,62.731
22.672,62.664
23.172,62.676
23.672,62.761
24.172,62.711
24.672,62.643
25.172,63.085
25.672,62.452
26.172,62.934
26.672,62.584
27.172,62.801
27.672,62.674
28.172,62.669
28.672,62.681
29.172,62.688
29.672,62.726
30.172,62.682
30.672,62.708
31.172,62.662
31.672,62.732
32.172,62.647
32.672,62.751
33.172,62.891
33.672,62.53
34.172,62.723
34.672,62.787
35.172,62.674
35.672,62.749
36.172,62.626
36.672,62.719
37.172,62.661
37.672,62.691
38.172,62.794
38.672,62.604
39.172,62.722
39.672,62.688
40.172,62.676
40.672,62.684
41.172,62.679
41.672,62.733
42.172,62.649
42.672,62.728
43.172,62.723
43.672,62.695
44.172,62.668
44.672,62.68
45.172,62.69
45.672,62.701
46.172,62.721
46.672,62.661
47.172,62.7
47.672,62.75
48.172,62.696
48.672,62.688
49.172,62.683
49.672,62.685
50.172,62.681
50.672,62.796
51.172,62.608
51.672,62.77
52.172,62.632
52.672,62.726
53.172,62.695
53.672,62.666
54.172,62.86
54.67,62.72
55.17,62.618
55.67,62.781
56.17,62.629
56.67,62.743
57.17,62.696
57.67,62.664
58.17,62.695
58.67,62.734
59.17,62.686
59.67,62.693
60.17,62.814
60.67,62.62
61.17,62.699
61.67,62.678
62.17,62.693
62.67,62.716
63.17,62.659
63.67,62.711
64.17,62.688
64.67,62.684
65.17,62.689
65.67,62.862
66.17,62.647
66.67,62.812
67.17,62.662
67.67,62.691
68.17,62.686
68.67,62.679
69.17,62.685
69.67,62.701
70.17,62.702
70.67,62.668
71.17,62.697
71.67,62.711
72.17,62.664
72.67,62.83
73.17,62.624
73.67,62.704
74.17,62.758
74.67,62.65
75.17,62.728
75.67,62.696
76.17,62.671
76.67,62.716
77.17,62.67
77.67,62.712
78.17,62.672
78.67,62.693
79.17,62.74
79.67,62.647
80.17,62.72
80.67,62.666
81.17,62.704
81.67,62.717
82.17,62.754
82.67,62.668
83.17,62.722
83.67,62.666
84.17,62.688
84.67,62.685
85.17,62.773
85.67,62.791
86.17,62.598
86.67,62.734
87.17,62.686
87.67,62.68
88.17,62.688
88.67,62.688
89.17,62.737
89.67,62.653
90.17,62.796
90.67,62.709
91.17,62.651
91.67,62.702
92.17,62.747
92.67,62.71
93.17,62.666
93.67,62.77
94.17,62.707
94.67,62.688
95.17,62.677
95.67,62.69
96.17,62.692
96.67,62.693
97.17,62.69
97.67,62.754
98.17,62.645
98.67,62.79
99.17,62.631
99.67,62.803
100.17,62.626
100.67,62.72
101.17,62.673
101.67,62.764
102.15,62.971
102.626,62.548
103.126,62.907
103.626,62.552
104.126,62.752
104.626,62.667
105.126,62.695
105.626,62.78
106.126,62.634
106.626,62.862
107.126,62.589
107.626,62.721
108.126,62.731
108.626,62.659
109.126,62.786
109.626,62.631
110.126,62.715
110.626,62.702
111.126,62.722
111.626,62.664
112.126,62.753
112.626,62.649
113.126,62.791
113.626,62.626
114.126,62.725
114.626,62.689
115.126,62.689
115.626,62.831
116.126,62.634
116.626,62.733
117.126,62.666
117.626,62.697
118.126,62.739
118.626,62.705
119.126,62.69
119.626,62.685
120.126,62.703
120.626,62.695
121.126,62.696
121.626,62.714
122.126,62.736
122.626,62.725
123.126,62.707
123.626,62.863
124.126,62.58
124.626,62.726
125.126,62.701
125.626,62.68
126.126,62.841
126.626,62.694
127.126,62.696
127.626,62.714
128.126,62.753
128.626,62.655
129.126,62.721
129.626,62.691
130.126,62.686
130.626,62.713
131.126,62.683
131.626,62.831
132.126,62.602
132.626,63.036
133.126,62.59
133.626,62.709
134.126,62.694
134.626,62.695
135.126,62.715
135.626,62.759
136.126,62.667
136.626,62.711
137.126,62.68
137.626,62.703
138.126,62.696
138.626,62.704
139.126,62.69
139.626,62.848
140.126,62.669
140.626,62.679
141.126,62.696
141.626,62.701
142.126,62.689
142.626,62.751
143.126,62.655
143.626,62.732
144.126,62.758
144.626,62.683
145.126,62.692
145.626,62.977
146.126,62.55
146.626,62.756
147.126,62.721
147.626,62.666
148.126,62.702
148.626,62.699
149.126,62.691
149.626,62.694
150.126,62.704
150.626,62.687
151.126,62.75
151.626,62.688
152.126,62.818
152.626,62.655
153.126,62.889
153.626,62.582
154.126,62.734
154.626,62.718
155.126,62.697
155.626,62.699
156.126,62.692
156.626,62.705
157.126,62.748
157.626,62.717
158.126,62.708
158.626,62.724
159.126,62.671
159.626,62.712
160.126,62.692
160.626,62.757
161.126,62.71
161.626,62.675
162.126,62.704
162.626,62.697
163.126,62.7
163.626,62.709
164.126,62.705
164.626,62.694
165.126,62.749
165.626,62.684
166.126,62.711
166.626,62.737
167.126,62.675
167.626,62.707
168.126,62.693
168.626,62.755
169.126,62.702
169.626,62.681
170.126,62.712
170.626,62.691
171.126,62.706
171.626,62.703
172.126,62.876
172.626,62.644
173.126,62.705
173.626,62.734
174.126,62.733
174.626,62.843
175.126,62.588
175.626,62.739
176.126,62.684
176.626,62.732
177.126,62.718
177.626,62.809
178.126,62.702
178.626,62.678
179.126,62.736
179.626,62.812
180.126,62.624
180.626,62.755
181.126,62.709
181.626,62.7
182.126,62.772
182.626,62.801
183.126,62.644
183.626,62.8
184.126,62.635
184.626,62.859
185.126,62.67
185.626,62.691
186.126,62.701
186.626,62.703
187.126,62.696
187.626,62.894
188.126,62.569
188.626,62.876
189.126,62.593
189.626,62.789
190.126,62.655
190.626,62.714
191.126,62.733
191.626,62.736
192.126,62.671
192.626,62.728
193.126,62.713
193.626,62.705
194.126,62.697
194.626,62.721
195.126,62.749
195.626,62.855
196.126,62.583
196.626,62.781
197.126,62.769
197.626,62.664
198.126,62.716
198.626,62.694
199.126,62.77
199.626,62.757
200.126,62.669
200.626,62.767
201.126,62.656
201.626,62.722
202.126,62.691
202.626,62.725
203.126,62.687
203.626,62.739
204.126,62.696
204.626,62.697
205.126,62.767
205.626,62.816
206.126,62.687
206.626,62.692
207.126,62.747
207.626,62.681
208.126,62.773
208.626,62.989
209.126,62.522
209.626,62.84
210.126,62.852
210.626,62.582
211.126,62.747
211.626,62.696
212.126,62.72
212.626,62.865
213.126,62.602
213.626,62.734
214.126,62.723
214.626,62.785
215.126,62.649
215.626,62.735
216.126,62.706
216.626,62.853
217.126,62.597
217.626,62.795
218.126,62.665
218.626,62.744
219.126,62.736
219.626,62.762
220.126,62.666
220.626,62.717
221.126,62.77
221.626,62.699
222.126,62.699
222.626,62.711
# Event GROUND_HIT occurred at t=222.635 seconds
# Event SIMULATION_END occurred at t=222.635 seconds
222.635,62.706
